Field	Notes on data type / units
Horse id	integer primary key for horse records
Sample id	integer primary key for sample records
abbreviation	"primary key for breed records, 3 upper case letters to label the breed"
breed	"Breed names, nomenclature typically follows breed clubs"
sex	"M=mare, G=gelding, S=stallion"
AGE	age in years at time of phenotyping
body_condition_score	"larger values = heavier, judged subjectively by measurement-taker"
fore_shod	yes/no
hind_shod	yes/no
factor_dish_roman	"See paper for details, factor scale 1-5 judged subjectively by measurement-taker"
factor_feather	"See paper for details, factor scale 1-5 judged subjectively by measurement-taker"
factor_bite	"See paper for details, factor scale 1-5 judged subjectively by measurement-taker"
factor_thickness	"See paper for details, factor scale 1-5 judged subjectively by measurement-taker"
head_eyewid	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
head_jawwid	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
head_length	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
head_muzcirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
head_eyemouth	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
head_eyejaw	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
head_earlength	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
neck_lengthlevel	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
neck_lengthdown	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
neck_throatcirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
neck_basecirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_withers	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_croup	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_dock	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_taillength	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_wc_straight	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_wc_contour	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_crouptodock	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_chestwidth	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_heartgirth	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
body_barrelgirth	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
fore_forearmlen	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
fore_cannonlen	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
fore_cannoncirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
fore_pasternlen	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
fore_pasterncirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
fore_hooflen	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
fore_coronetcirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
hind_gaskinlen	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
hind_cannonlen	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
hind_cannoncirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
hind_pasternlen	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
hind_pasterncirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
hind_hooflen	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
hind_coronetcirc	"Is in INCHES. See paper for details, quantitative/numerical scale but note inches scale makes fraction (1/2, 1/4) common."
